district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,201362,84.26,0.61,10.75,0.9,0.93,0.1,0.26
2,District 2,179201,69.8,4.96,17.61,0.95,3.32,0.14,0.7
3,District 3,190547,87.01,1.41,5.65,0.4,3.1,0.05,0.27
4,District 4,194222,81.61,1.89,9.62,0.49,3.74,0.23,0.23
5,District 5,176422,58.02,6.64,26.33,2.44,2.97,0.25,0.45
6,District 6,160781,28.5,0.83,8.35,57.91,0.4,0.1,0.18
7,District 7,205621,75.74,1.83,15.37,2.75,1.12,0.09,0.32
8,District 8,191793,61.18,6.0,21.58,2.97,3.39,0.29,0.68
9,District 9,160597,60.23,5.03,26.75,2.11,2.16,0.17,0.5
10,District 10,183319,78.12,2.68,13.4,0.65,2.12,0.15,0.29
11,District 11,152051,25.88,17.49,48.15,2.36,3.27,0.33,0.3
12,District 12,182658,66.82,5.07,16.71,1.67,6.08,0.22,0.41
13,District 13,171306,65.25,5.16,16.75,1.16,8.48,0.13,0.55
14,District 14,172099,71.66,3.42,15.36,0.63,5.5,0.06,0.64
15,District 15,186146,71.62,3.97,17.58,0.74,2.43,0.22,0.46
16,District 16,188810,51.36,6.42,30.0,6.59,1.53,0.64,0.42
17,District 17,193721,73.59,2.56,17.95,0.39,2.72,0.11,0.44
18,District 18,196900,70.02,3.5,19.25,0.83,3.09,0.11,0.35
19,District 19,180526,66.9,3.02,24.55,0.8,1.68,0.16,0.47
20,District 20,177078,43.63,2.6,45.0,2.71,2.65,0.14,0.39
21,District 21,163574,37.89,4.63,52.1,1.19,1.52,0.12,0.54
22,District 22,153913,27.56,12.45,53.42,1.18,2.79,0.13,0.66
23,District 23,154625,33.87,4.36,53.46,4.97,1.27,0.15,0.28
24,District 24,130304,30.47,7.51,55.1,1.78,2.42,0.12,0.4
25,District 25,192503,58.67,4.84,30.77,0.97,1.71,0.09,0.41
26,District 26,129757,32.08,7.98,50.19,2.33,3.51,0.23,0.63
27,District 27,179784,66.3,4.01,21.52,1.17,3.35,0.12,0.51
28,District 28,185408,83.9,2.32,8.23,0.42,2.86,0.1,0.35
29,District 29,189202,65.9,5.5,21.55,0.9,2.27,0.31,0.67
30,District 30,200357,80.09,1.11,13.56,1.54,0.86,0.17,0.3
